user.id,user.firstname,user.lastname,user.password,user.age,user.gender,user.admin
ubkxr@Oradinosaur.com,Austin,Armstrong,BI48A20B18,21,0,1
reywi@Oradinosaur.com,Steven,Wells,PA98R99V46,31,1,1
ykxur@Oradinosaur.com,Anthony,Fowler,ZG85L38R14,58,1,1
cxbup@Oradinosaur.com,Eric,McKinney,IU70F13H39,27,1,1
kdfgg@Oradinosaur.com,Julian,Phillips,RZ22M68A58,31,1,1
myqft@Oradinosaur.com,Jorge,Drake,OI72J60U49,54,0,0
lhksm@Oradinosaur.com,Mary,Graves,SV58X50S61,87,1,0
huhpr@Oradinosaur.com,Johanna,Allen,PJ87S42M87,48,1,0
akygl@Oradinosaur.com,Minerva,Hawkins,RJ41W74V30,45,1,0
tovte@Oradinosaur.com,Frances,Arnold,OS73U48Q47,41,0,0
crmby@Oradinosaur.com,Angel,Morrison,VR30N40L68,43,1,0
nrkuw@Oradinosaur.com,Connor,Evans,JV75J27E47,84,1,0
lrxcr@Oradinosaur.com,Alvin,Murray,GZ90I84N22,13,0,0
jeowv@Oradinosaur.com,Herbert,Jordan,QE23Q83I60,17,0,0
tkwev@Oradinosaur.com,Bruce,Jennings,OM89Y95C51,27,0,0
xzaqe@Oradinosaur.com,Calvin,Hoffman,JU75X97X25,13,1,0
amxpw@Oradinosaur.com,Johanna,Brown,ZF45L22F73,74,1,0
kybrd@Oradinosaur.com,Florence,Hopkins,FA88G80E62,39,0,0
kxjeb@Oradinosaur.com,Evan,Ball,PQ40B63V16,81,0,0
enfdm@Oradinosaur.com,Josephine,Hanson,EN11E87R86,63,0,0
ckqyu@Oradinosaur.com,Scott,Powers,TF53Z51Q79,70,1,0
vbqty@Oradinosaur.com,Mason,Ray,BN27Q64H42,46,1,0
qemvm@Oradinosaur.com,Lydia,Houston,VR33F46H79,71,1,0
xyxrc@Oradinosaur.com,Nina,Powers,NO68H51N17,22,0,0
qulge@Oradinosaur.com,Dora,Wilkins,FA63C71J76,45,0,0
mjwmp@Oradinosaur.com,Jordan,Reynolds,BY29Y67A68,48,1,0
migws@Oradinosaur.com,Leon,Hoffman,RZ50M93P26,18,0,0
joucj@Oradinosaur.com,Francis,Herrera,DK28H81Q37,27,1,0
oglal@Oradinosaur.com,Jesse,Frank,JO46Y24F82,23,1,0
sbxce@Oradinosaur.com,Elijah,Alvarado,NP67K89Z42,17,1,0
ilmzp@Oradinosaur.com,Walter,Cole,RO96G37F87,82,0,0
cqnpp@Oradinosaur.com,Jose,Lynch,WE81E92Z38,17,1,0
trkyx@Oradinosaur.com,Jack,Russell,FF67P68H26,45,1,0
pxtkr@Oradinosaur.com,Jean,Holt,WC31E77S98,87,1,0
